year,quarter,market,occupancy_proportion,starting_occupancy_proportion,avg_occupancy_proportion,year_quarter
0.0,q2,austin,0.3275862068965517,0.29310344827586204,0.3445491251682363,2020qq2
0.0,q3,austin,0.43103448275862066,0.3965517241379311,0.42837915785425834,2020qq3
0.0,q4,austin,0.2758620689655172,0.5000000000000001,0.4912516823687749,2020qq4
0.25,q1,austin,0.4999999999999999,0.3965517241379311,0.46433378196500713,2021qq1
0.25,q2,austin,0.7413793103448275,0.5344827586206897,0.6716016150740237,2021qq2
0.25,q3,austin,0.6896551724137929,0.7241379310344828,0.7442799461641996,2021qq3
0.25,q4,austin,0.25862068965517243,0.7931034482758622,0.775235531628532,2021qq4
0.5,q1,austin,0.9137931034482758,0.5172413793103449,0.7483176312247641,2022qq1
0.5,q2,austin,0.8620689655172412,1.0,0.9582772543741584,2022qq2
0.5,q3,austin,0.9137931034482758,0.9310344827586207,0.9278883615499032,2022qq3
0.5,q4,austin,0.2758620689655172,1.0,0.9276581426648719,2022qq4
0.75,q1,austin,0.9655172413793103,0.6551724137931035,0.9582772543741584,2023qq1
0.75,q2,austin,0.8793103448275861,1.0,0.9515477792732161,2023qq2
0.75,q3,austin,0.8620689655172412,0.6896551724137931,0.8923283983849251,2023qq3
0.75,q4,austin,0.31034482758620685,0.9482758620689654,0.8842530282637957,2023qq4
1.0,q1,austin,1.0,0.5689655172413793,0.9730820995962305,2024qq1
1.0,q2,austin,0.9310344827586207,0.9655172413793103,1.0,2024qq2
1.0,q3,austin,0.9655172413793103,0.9137931034482758,0.9650067294751009,2024qq3
0.0,q2,chicago,0.13793103448275862,0.08620689655172414,0.10901749663526308,2020qq2
0.0,q3,chicago,0.20689655172413793,0.20689655172413796,0.22966737165929693,2020qq3
0.0,q4,chicago,0.08620689655172413,0.2586206896551725,0.22072678331090087,2020qq4
0.25,q1,chicago,0.1896551724137931,0.17241379310344826,0.22476446837146732,2021qq1
0.25,q2,chicago,0.3275862068965517,0.24137931034482762,0.3216689098250332,2021qq2
0.25,q3,chicago,0.39655172413793094,0.36206896551724144,0.42395693135935447,2021qq3
0.25,q4,chicago,0.08620689655172413,0.4655172413793104,0.4401076716016152,2021qq4
0.5,q1,chicago,0.44827586206896547,0.24137931034482762,0.42664872139973037,2022qq1
0.5,q2,chicago,0.5689655172413792,0.5517241379310346,0.5783503172466834,2022qq2
0.5,q3,chicago,0.6379310344827586,0.6206896551724138,0.6295246865481336,2022qq3
0.5,q4,chicago,0.15517241379310345,0.6896551724137931,0.6564602960969043,2022qq4
0.75,q1,chicago,0.6896551724137929,0.48275862068965525,0.7523553162853289,2023qq1
0.75,q2,chicago,0.7758620689655171,0.7241379310344828,0.8048452220726775,2023qq2
0.75,q3,chicago,0.7758620689655171,0.5344827586206897,0.7981157469717368,2023qq3
0.75,q4,chicago,0.293103448275862,0.8275862068965518,0.786002691790041,2023qq4
1.0,q1,chicago,0.7241379310344827,0.5000000000000001,0.8183041722745623,2024qq1
1.0,q2,chicago,0.8275862068965517,0.7586206896551725,0.8654104979811572,2024qq2
